Elementary Schools,2013 growth,2012 base,,growth,,,,,,,,source
  San Gabriel Avenue Elementary,758,763,,-5,,,,,,,,
  San Jose Street Elementary,832,814,,18,,,,,,,,
  San Miguel Elementary,766,777,,-11,,,,,,,,
  San Pascual Avenue Elementary,751,785,,-34,,,,,,,,
  San Pedro Street Elementary,811,815,,-4,,,,,,,,
  Santa Monica Boulevard Community Charter,809,743,,66,,,,,,,,
  Sara Coughlin Elementary,719,744,,-25,,,,,,,,
  Saticoy Elementary,796,805,,-9,,,,,,,,
  Saturn Street Elementary,754,790,,-36,,,,,,,,
  Second Street Elementary,738,747,,-9,,,,,,,,
  Selma Avenue Elementary,791,789,,2,,,,,,,,
  Serrania Avenue Charter For Enriched Stu,879,900,,-21,,,,,,,,
  Seventh Street Elementary,876,879,,-3,,,,,,,,
  Seventy-Fifth Street Elementary,763,760,,3,,,,,,,,
  Seventy-Fourth Street Elementary,847,849,,-2,,,,,,,,
  Sharp Avenue Elementary,800,792,,8,,,,,,,,
  Shenandoah Street Elementary,757,755,,2,,,,,,,,
  Sheridan Street Elementary,732,758,,-26,,,,,,,,
  Sherman Oaks Elementary Charter,880,869,,11,,,,,,,,
  Shirley Avenue Elementary,824,844,,-20,,,,,,,,
  Short Avenue Elementary,836,B,,B,,,,,,,,
  Sierra Park Elementary,738,719,,19,,,,,,,,
  Sierra Vista Elementary,842,863,,-21,,,,,,,,
  Sixth Avenue Elementary,682,693,,-11,,,,,,,,
  Sixty-Eighth Street Elementary,723,733,,-10,,,,,,,,
  Sixty-First Street Elementary,775,766,,9,,,,,,,,
  Sixty-Sixth Street Elementary,739,775,,-36,,,,,,,,
  Solano Avenue Elementary,923,922,,1,,,,,,,,
  Sophia T. Salvin Special Education Cente,793,803,,-10,,,,,,,,
  Soto Street Elementary,763,778,,-15,,,,,,,,
  South Park Elementary,723,759,,-36,,,,,,,,
  South Region Elementary #10,650,B,,B,,,,,,,,
  South Region Elementary #11,698,B,,B,,,,,,,,
  South Shores/CSUDH Visual and Performing,897,893,,4,,,,,,,,
  Stagg Street Elementary,848,839,,9,,,,,,,,
  Stanford Avenue Elementary,761,775,,-14,,,,,,,,
  Stanford Primary Center,,,,,,,,,,,,
  Stanley Mosk Elementary,775,768,,7,,,,,,,,
  State Street Elementary,735,733,,2,,,,,,,,
  Stonehurst Avenue Elementary,817,828,,-11,,,,,,,,
  Stoner Avenue Elementary,810,786,,24,,,,,,,,
  Strathern Street Elementary,791,808,,-17,,,,,,,,
